process	sample_id	histone_mark	download_source	download_path	experiment_title	run	experiment	srp_id	platform	sequencer	input_id
no	KOPT-K1	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143136/SRR1143136.1	GSM1314122: H3K27ac ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143136	SRX448940	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143137/SRR1143137.1	GSM1314122: H3K27ac ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143137	SRX448940	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143138/SRR1143138.1	GSM1314122: H3K27ac ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143138	SRX448940	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143139/SRR1143139.1	GSM1314122: H3K27ac ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143139	SRX448940	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143140/SRR1143140.1	GSM1314122: H3K27ac ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143140	SRX448940	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K27me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143141/SRR1143141.1	GSM1314123: H3K27me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143141	SRX448941	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K27me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143142/SRR1143142.1	GSM1314123: H3K27me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143142	SRX448941	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K27me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143143/SRR1143143.1	GSM1314123: H3K27me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143143	SRX448941	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K27me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143144/SRR1143144.1	GSM1314123: H3K27me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143144	SRX448941	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K27me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143145/SRR1143145.1	GSM1314123: H3K27me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143145	SRX448941	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143146/SRR1143146.1	GSM1314124: H3K36me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143146	SRX448942	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143147/SRR1143147.1	GSM1314124: H3K36me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143147	SRX448942	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143148/SRR1143148.1	GSM1314124: H3K36me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143148	SRX448942	SRP035662	ILLUMINA	HiSeq2000	Input
